symbol,security_type,source_rating,datetime,company,lat,lng,sector,industry,country,volume,exchange,location_rating,source_note
A,stocks,A,1999-11-18,"Agilent Technologies, Inc.",NY_LAT,NY_LNG,Healthcare,Diagnostics & Research,USA,1818460.0,,Default to NY,
AA,stocks,D,1970-01-02,Alcoa Corporation,NY_LAT,NY_LNG,Basic Materials,Aluminum,USA,7748265.0,NYSE,Default to NY,
#_AAAU_NAME_CHANGE_AS_OF_2021-02-06_17-35-11,stocks,A,2018-08-15,Perth Mint Physical Gold ETF,NY_LAT,NY_LNG,Financial,Exchange Traded Fund,USA,,PCX,Default to NY,
AAAU,stocks,D,2018-08-15,Goldman Sachs Physical Gold ETF,NY_LAT,NY_LNG,Financial,Exchange Traded Fund,USA,613236.0,PCX,Default to NY,
AACG,stocks,D,2008-01-29,ATA Creativity Global,NY_LAT,NY_LNG,Consumer Defensive,Education & Training Services,China,103990.0,NGM,Default to NY,
AADR,stocks,A,2010-07-21,AdvisorShares Dorsey Wright ADR ETF,NY_LAT,NY_LNG,Financial,Exchange Traded Fund,USA,6118.0,PCX,Default to NY,
AAL,stocks,AAA,2013-12-09,American Airlines Group Inc.,NY_LAT,NY_LNG,Industrials,Airlines,USA,111604088.0,NMS,Default to NY,https://americanairlines.gcs-web.com/stock-info/historic-price-lookup
AAMC,stocks,C,2012-12-13,Altisource Asset Management Corporation,NY_LAT,NY_LNG,Financial,Asset Management,USA,4372.0,ASE,Default to NY,
AAME,stocks,D,1980-03-17,Atlantic American Corporation,NY_LAT,NY_LNG,Financial,Insurance - Life,USA,17069.0,NGM,Default to NY,
#_AAN_NAME_CHANGE_AS_OF_2021-02-06_17-35-11,stocks,A,1982-11-04,"Aaron's, Inc.",NY_LAT,NY_LNG,Services,Rental & Leasing Services,USA,,NYSE,Default to NY,
AAN,stocks,D,1982-11-04,"The Aaron's Company, Inc.",NY_LAT,NY_LNG,Industrials,Rental & Leasing Services,USA,502032.0,NYSE,Default to NY,
AAOI,stocks,C,2013-09-26,"Applied Optoelectronics, Inc.",NY_LAT,NY_LNG,Technology,Semiconductors,USA,883332.0,NGM,Default to NY,
AAON,stocks,D,1992-12-16,"AAON, Inc.",NY_LAT,NY_LNG,Industrials,Building Products & Equipment,USA,398070.0,NMS,Default to NY,
AAP,stocks,D,1993-12-14,"Advance Auto Parts, Inc.",NY_LAT,NY_LNG,Consumer Cyclical,Specialty Retail,USA,1267725.0,NYSE,Default to NY,
AAPL,stocks,AAA,1980-12-12T15:00:00,Apple Inc.,NY_LAT,NY_LNG,Technology,Consumer Electronics,USA,176457406.0,NMS,Default to NY,
AAT,stocks,C,2011-01-12,"American Assets Trust, Inc.",NY_LAT,NY_LNG,Real Estate,REIT - Diversified,USA,410592.0,NYSE,Default to NY,
AAU,stocks,D,2005-12-20,Almaden Minerals Ltd.,NY_LAT,NY_LNG,Basic Materials,Gold,Canada,30269078.0,ASE,Default to NY,
AAWW,stocks,D,2005-11-09,"Atlas Air Worldwide Holdings, Inc.",NY_LAT,NY_LNG,Industrials,Airports & Air Services,USA,501318.0,NMS,Default to NY,
AAXJ,stocks,A,2008-08-15,iShares MSCI All Country Asia ex Japan ETF,NY_LAT,NY_LNG,Financial,Exchange Traded Fund,USA,1113698.0,NMS,Default to NY,
AAXN,stocks,C,2001-06-07,"Axon Enterprise, Inc.",NY_LAT,NY_LNG,Industrials,Aerospace & Defense,USA,0.0,NMS,Default to NY,
AB,stocks,A,1988-04-14,AllianceBernstein Holding L.P.,NY_LAT,NY_LNG,Financial,Asset Management,USA,710482.0,NYSE,Default to NY,
ABB,stocks,A,2001-04-06,ABB Ltd,NY_LAT,NY_LNG,Industrials,Specialty Industrial Machinery,Switzerland,2479549.0,NYSE,Default to NY,
ABBV,stocks,AAA,2012-12-10,AbbVie Inc.,NY_LAT,NY_LNG,Healthcare,Drug Manufacturers - General,USA,9344861.0,NYSE,Default to NY,'When issued' trading begins on 2012-12-10 and settles on 2013-01-02
ABC,stocks,AAA,1995-04-04,AmerisourceBergen Corporation,NY_LAT,NY_LNG,Healthcare,Medical Distribution,USA,1155581.0,NYSE,Default to NY,stockanalysis.com
ABCB,stocks,A,1994-05-19,Ameris Bancorp,NY_LAT,NY_LNG,Financial,Banks - Regional,USA,796257.0,NMS,Default to NY,
ABEO,stocks,AAA,1980-09-19,Abeona Therapeutics Inc.,NY_LAT,NY_LNG,Healthcare,Biotechnology,USA,2428346.0,NMS,Default to NY,No direct source but multiple sites agree
ABEQ,stocks,A,2020-01-22,Absolute Core Strategy ETF,NY_LAT,NY_LNG,Financial,Exchange Traded Fund,USA,11285.0,PCX,Default to NY,
ABEV,stocks,D,1993-11-19,Ambev S.A.,NY_LAT,NY_LNG,Consumer Defensive,Beverages - Brewers,Brazil,26231205.0,NYSE,Default to NY,
ABG,stocks,C,2002-03-21,"Asbury Automotive Group, Inc.",NY_LAT,NY_LNG,Consumer Cyclical,Auto & Truck Dealerships,USA,172992.0,NYSE,Default to NY,
ABIO,stocks,D,1983-06-29,"ARCA biopharma, Inc.",NY_LAT,NY_LNG,Healthcare,Biotechnology,USA,473824.0,NMS,Default to NY,
